neighborhood,trees_planted
Loop,8.2
Albany Park,12
Archer Heights,7.1
Armour Square,8.1
Ashburn,3.4
Auburn Gresham,6.5
Austin,10.6
Avalon Park,6.5
Avondale,11.9
Belmont Cragin,8.2
Beverly,11.6
Bridgeport,10.2
Brighton Park,7
Burnside,4
Calumet Heights,6.5
Chatham,6.6
Chicago Lawn,7.4
Clearing,10.1
Douglas,4.9
Dunning,9.7
East Garfield Park,9.6
East Side,11.7
Edgewater,28.5
Edison Park,20
Englewood,7.7
Forest Glen,14.5
Fuller Park,2.3
Gage Park,5.8
Garfield Ridge,8.7
Grand Boulevard,10.9
Greater Grand Crossing,6.2
Hegewisch,5.2
Hermosa,12.1
Humboldt Park,10
Hyde Park,16
Irving Park,18.1
Jefferson Park,13.9
Kenwood,11.9
Lake View,22.6
Lincoln Park,15.6
Lincoln Square,15.6
Logan Square,18.8
Lower West Side,10.7
McKinley Park,12.7
Montclare,8.4
Morgan Park,6.5
Mount Greenwood,9.3
Near North Side,16.9
Near South Side,13.1
Near West Side,14.7
New City,5.1
North Center,18.6
North Lawndale,4.1
North Park,9.9
Norwood Park,13.5
O'Hare,1.9
Oakland,5.8
Portage Park,16.8
Pullman,3.8
Riverdale,0.7
Rogers Park,24.9
Roseland,5.6
South Chicago,8.3
South Deering,5.1
South Lawndale,6.1
South Shore,9
Uptown,17.9
Washington Heights,4.8
Washington Park,11.7
West Elsdon,8.8
West Englewood,6
West Garfield Park,10.7
West Lawn,10.1
West Pullman,5.9
West Ridge,13.7
West Town,15.7
Woodlawn,9.3
