,community,total_pop,pctpov,pctpoc,unemplrate,medhhinc,dep_ratio,child_perc,seniorperc,avg_temp,bgpopdense,tc_gap,phys_hlth,ment_hlth,asthma,core_m,core_w,core_norm,healthnorm,tes,trees_planted
0,Albany Park,1607.22727272727,0.420056851511275,0.689684539351307,0.061025508389553,58310.3272727273,0.506016705073945,0.233234418042609,0.095154417264024,79.9100475102938,11981.3319232742,0.05248561033605,10.9181818181818,12.6181818181818,8.58181818181818,27.4818181818182,25.4,0.496336039439488,0.302918776373479,96.0114808953968,12
1,Archer Heights,1361.25,0.435554703147001,0.83138353836983,0.083070609545754,46192.95,0.693833362556787,0.283720557368981,0.119923586111861,84.6705448097928,3873.10678080771,0.303786040989569,12.5,13.18,8.86,26.6,23.16,0.431579722959033,0.317325320568303,70.7087955748562,7.1
2,Armour Square,1683,0.630941674769608,0.842071953271086,0.165800587063027,28915.35,0.826826786460494,0.19051606687438,0.256869364541614,80.9320522855353,5761.04032857079,0.244150550835694,18.3,14.94,10.16,22.08,19.96,0.276613616268789,0.392980442992128,73.9129964790854,8.1
3,Ashburn,1631.52083333333,0.294748006936019,0.89841669122515,0.115462882671993,70093.6041666667,0.639437893772923,0.268078702684213,0.114072135981887,83.7070634882812,3972.52856028421,0.24856274771572,11.9625,12.625,10.3,27.8,24.2625,0.478125921013852,0.349969797524953,76.2160620943962,3.4
4,Auburn Gresham,991.108888888889,0.521142223654109,0.994152154996731,0.189968485333449,34718.2688888889,0.686203732582425,0.216352552458288,0.181717223414457,82.3798757052929,4982.26036389861,0.190886387230406,16.4333333333333,15.3866666666667,13.0666666666667,21.9533333333333,20.56,0.287007564593771,0.453948465909024,78.8342097470167,6.5
5,Austin,1157.75505952381,0.564482405903175,0.961864772013311,0.127923181684434,32789.4775793651,0.645126697128129,0.237366974332035,0.142957835486921,82.5408669337601,5961.55730890131,0.168646220728638,16.65,16.3625,12.9833333333333,21.1208333333333,20.3375,0.266305015227429,0.463581793996462,81.7413278258838,10.6
6,Avalon Park,972.958333333333,0.386299839817629,0.993349350529174,0.155953966411862,40539.3333333333,0.732447212071106,0.182058471021527,0.229020072572342,81.9312196570991,3007.83343031362,0.219934169457395,14.35,12.75,12.15,24.65,22.8,0.386531093427645,0.396740204282537,76.9610354060581,6.5
7,Avondale,1423.325,0.406394939744793,0.640131417979113,0.049335172596057,59336.3916666667,0.416394031615457,0.198561637179593,0.089077412674648,81.909132452812,8687.5659378137,0.134917072156161,11.04,12.67,8.71,27.27,25.49,0.494201296787504,0.307436409403085,89.5714147742064,11.9
8,Belmont Cragin,1876.16764705882,0.438011101353652,0.869384088269759,0.070166452300511,48352.1254901961,0.565508809886803,0.266849245470055,0.08997654983835,84.4540878432917,8603.79689559987,0.130315154247781,13.2411764705882,13.9,9.12941176470588,24.2470588235294,22.4882352941176,0.372150274787192,0.327025627833798,87.3524066602803,8.2
9,Beverly,1062.83333333333,0.090456051683987,0.385713505864462,0.045440858866495,111853.738095238,0.70429218178729,0.243032754923094,0.164423281872279,79.3574957331893,2726.22316855123,0.090722326533833,8.61428571428571,9.48571428571428,9.04285714285714,35.8142857142857,31.4285714285714,0.784777483053345,0.316437103369585,95.1524657779927,11.6
10,Bridgeport,1399.19666666667,0.41946510389881,0.673297424308299,0.08444146419826,50402.1766666667,0.457174761463067,0.180417645440772,0.128101744400939,82.3115037783265,7657.03100659402,0.215319969442061,11.59,12.0266666666667,8.30666666666667,28.7933333333333,25.2566666666667,0.518398172708517,0.299472454292745,82.2508707113147,10.2
